213.540000,47.193000
217.920000,46.140000
222.250000,44.738000
226.550000,43.161000
228.590000,41.586000
232.910000,40.183000
234.950000,38.608000
241.540000,37.204000
243.610000,35.803000
247.960000,34.576000
250.180000,34.224000
256.820000,33.170000
263.410000,31.765000
270.050000,30.711000
276.710000,29.831000
285.600000,28.599000
292.240000,27.545000
298.880000,26.490000
303.260000,25.437000
312.080000,23.856000
323.180000,22.273000
334.250000,20.516000
343.050000,18.760000
351.880000,17.179000
360.760000,15.947000
376.380000,14.361000
387.500000,12.952000
403.200000,11.890000
418.850000,10.478000
430.040000,9.594000
443.450000,8.359000
459.170000,7.472000
481.610000,6.054000
501.830000,4.988000
524.320000,3.919000
549.090000,3.024000
591.910000,1.589000
600.980000,1.756000
625.840000,1.385000
652.980000,1.187000
675.590000,0.993000
700.470000,0.797000
720.810000,0.605000
750.220000,0.405000
770.620000,0.562000
786.440000,0.374000
802.280000,0.361000
820.370000,0.170000
829.420000,0.163000
